dept_code,dept_name,source_1,source_2
97,VAUPES,1,2
05,ANTIOQUIA,1,2
08,ATLANTICO,1,2
11,BOGOTA D.C.,1,2
13,BOLIVAR,1,2
15,BOYACA,1,2
17,CALDAS,1,2
18,CAQUETA,1,2
19,CAUCA,1,2
20,CESAR,1,2
23,CORDOBA,1,2
25,CUNDINAMARCA,1,2
27,CHOCO,1,2
41,HUILA,1,2
44,LA GUAJIRA,1,2
47,MAGDALENA,1,2
50,META,1,2
52,NARINO,1,2
54,NORTE DE SANTANDER,1,2
63,QUINDIO,1,2
66,RISARALDA,1,2
68,SANTANDER,1,2
70,SUCRE,1,2
73,TOLIMA,1,2
76,VALLE DEL CAUCA,1,2
81,ARAUCA,1,2
85,CASANARE,1,2
86,PUTUMAYO,1,2
94,GUAINIA,1,2
95,GUAVIARE,1,2
99,VICHADA,1,2
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,1,2
91,AMAZONAS,1,2
